,time,client_oid,funds,maker_order_id,new_size,old_size,order_id,order_type,price,product_id,reason,remaining_size,sequence,side,size,taker_order_id,trade_id,type
1185,2018-03-25 00:36:29.468,8c196490-2fc4-11e8-bc94-03ec1c2dcd07,,,,,67301c02-49dd-4083-a468-c819343bca6f,limit,13177.99,BTC-USD,,,5492538029,sell,0.0013,,,received
1186,2018-03-25 00:36:29.468,8c12fbf0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,dfab457a-bc08-4cd0-9854-9e381b0bc664,limit,11284.0,BTC-USD,,,5492538033,sell,0.0243,,,received
1187,2018-03-25 00:36:29.469,8c38d370-2fc4-11e8-bc94-03ec1c2dcd07,,,,,4853b75b-f113-4c36-9540-cf718ce5f2a5,limit,11308.97,BTC-USD,,,5492538035,sell,0.0016,,,received
1188,2018-03-25 00:36:29.470,8c1e94b0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,31cd8153-3343-4211-a28d-58ff64510417,limit,11308.97,BTC-USD,,,5492538039,sell,0.0036,,,received
1189,2018-03-25 00:36:29.472,8c2a0660-2fc4-11e8-bc94-03ec1c2dcd07,,,,,55ed1391-72cc-493e-b581-609b51ad6c29,limit,14711.43,BTC-USD,,,5492538045,sell,0.0047,,,received
1190,2018-03-25 00:36:29.474,8b0d72d0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,3bd4a74c-b38e-4b74-bb13-0ff94812f545,limit,13444.99,BTC-USD,,,5492538047,sell,0.0011,,,received
1191,2018-03-25 00:36:29.476,8c26f920-2fc4-11e8-bc94-03ec1c2dcd07,,,,,ef8c8960-a65e-4007-9e42-e64af2e720c2,limit,14951.65,BTC-USD,,,5492538049,sell,0.0016,,,received
1192,2018-03-25 00:36:29.478,8a7af6d0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,2c6820cf-f2b9-432e-acea-b16de46b19c9,limit,14827.84,BTC-USD,,,5492538051,sell,0.0061,,,received
1193,2018-03-25 00:36:29.479,8c2f5d90-2fc4-11e8-bc94-03ec1c2dcd07,,,,,fc2f429a-c9c6-4074-a812-a60a9ab5e117,limit,11289.1,BTC-USD,,,5492538053,sell,0.0033,,,received
1194,2018-03-25 00:36:29.479,8a748e30-2fc4-11e8-bc94-03ec1c2dcd07,,,,,f96aab90-692a-4446-b629-ba4d4985c865,limit,16871.21,BTC-USD,,,5492538055,sell,0.0019,,,received
1195,2018-03-25 00:36:29.501,8c1b3950-2fc4-11e8-bc94-03ec1c2dcd07,,,,,63999060-a5b8-4d5f-bb1a-2d6c3b37ebe0,limit,12043.13,BTC-USD,,,5492538067,sell,0.0015,,,received
1196,2018-03-25 00:36:31.445,18448491-93e7-4e3e-b026-53e80a5dae72,,,,,5fac9c40-0237-447d-b64a-a87a423943b8,limit,8490.0,BTC-USD,,,5492538432,buy,0.2,,,received
1197,2018-03-25 00:36:37.773,915fa4a0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,510dbb9e-bb89-47c1-bd66-0be233ee6556,limit,11625.91,BTC-USD,,,5492539026,sell,0.0461,,,received
1198,2018-03-25 00:36:37.775,911f1930-2fc4-11e8-bc94-03ec1c2dcd07,,,,,1b06f5a4-7f2a-4ac2-b789-507840db9d82,limit,16871.21,BTC-USD,,,5492539034,sell,0.0034,,,received
1199,2018-03-25 00:36:37.776,90d36a30-2fc4-11e8-bc94-03ec1c2dcd07,,,,,fac734c6-9c2f-48a6-a285-863ab2d685da,limit,19059.38,BTC-USD,,,5492539036,sell,0.0018,,,received
1200,2018-03-25 00:36:37.776,911bbdd0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,cc0287fc-5b8b-43e1-bf86-6ca36c73201a,limit,17277.61,BTC-USD,,,5492539038,sell,0.001,,,received
1201,2018-03-25 00:36:37.777,91737ac0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,2b5a8e68-f6ec-4069-b233-75af1d20719f,limit,11748.53,BTC-USD,,,5492539040,sell,0.0024,,,received
1202,2018-03-25 00:36:37.777,9154cf30-2fc4-11e8-bc94-03ec1c2dcd07,,,,,446f912f-37e3-4cfb-b8ab-30b9ff8441ee,limit,13707.79,BTC-USD,,,5492539042,sell,0.0012,,,received
1203,2018-03-25 00:36:37.779,9164adb0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,215a9a86-0689-42ba-9ee9-4f0f0135609f,limit,11748.53,BTC-USD,,,5492539050,sell,0.0039,,,received
1204,2018-03-25 00:36:37.782,91780ea0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,c090f154-6f60-4f17-8614-9453fada2c6a,limit,11748.53,BTC-USD,,,5492539058,sell,0.0018,,,received
1205,2018-03-25 00:36:37.782,91596310-2fc4-11e8-bc94-03ec1c2dcd07,,,,,cf98c821-c9b5-4562-a1b4-e7e74f4a3367,limit,16618.36,BTC-USD,,,5492539056,sell,0.0024,,,received
1206,2018-03-25 00:36:37.782,91665b60-2fc4-11e8-bc94-03ec1c2dcd07,,,,,186557aa-09fe-49f9-b494-172127c562e6,limit,14412.54,BTC-USD,,,5492539054,sell,0.0058,,,received
1207,2018-03-25 00:36:37.785,91632710-2fc4-11e8-bc94-03ec1c2dcd07,,,,,821556c3-c86d-42ef-8757-48447bbdc7bf,limit,15263.88,BTC-USD,,,5492539060,sell,0.002,,,received
1208,2018-03-25 00:36:37.800,911d9290-2fc4-11e8-bc94-03ec1c2dcd07,,,,,852faa42-9419-4c97-905d-356aa484f7a2,limit,11086.98,BTC-USD,,,5492539062,sell,0.001,,,received
1209,2018-03-25 00:36:37.820,90d9abc0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,244e58b2-a2d9-4875-91ca-0cc2417907df,limit,16057.92,BTC-USD,,,5492539068,sell,0.0013,,,received
1210,2018-03-25 00:36:37.853,90d1bc80-2fc4-11e8-bc94-03ec1c2dcd07,,,,,d5a42c76-0d38-4b37-a8ad-191287e3b72d,limit,17259.0,BTC-USD,,,5492539073,sell,0.0012,,,received
1211,2018-03-25 00:36:37.949,ced1fe96-045d-41a3-d0d2-30b409e3a29d,,,,,1db057d2-cd3c-49cc-a61f-ec79b210cba7,limit,8593.0,BTC-USD,,,5492539078,sell,0.5,,,received
1212,2018-03-25 00:36:43.641,cd039e5e-37d6-4bb3-f948-7a1f53491dc1,,,,,cdf62a6c-bf2e-4174-961c-da56fcc9099c,limit,8390.0,BTC-USD,,,5492539452,buy,0.17806891,,,received
1213,2018-03-25 00:36:46.591,a1499e62-39ad-4cc3-989f-669a4a98f9f2,,,,,91f91524-b519-4edd-9c96-536265f6c7ca,limit,8620.64,BTC-USD,,,5492539651,sell,0.6,,,received
1214,2018-03-25 00:36:47.244,3ae4d23b-656d-4e6c-b727-39bc807cc3a6,,,,,1fcb8851-8031-4cdb-a9ca-bbe4532008e0,limit,9025.0,BTC-USD,,,5492539692,sell,0.94314631,,,received
1215,2018-03-25 00:36:47.431,9665a760-2fc4-11e8-bc94-03ec1c2dcd07,,,,,2f654420-f41d-4202-976a-72656fa8f7b7,limit,14693.9,BTC-USD,,,5492539712,sell,0.0063,,,received
1216,2018-03-25 00:36:47.434,961d05a0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,527089f3-c306-46d0-ae4e-381ffab719c1,limit,17220.64,BTC-USD,,,5492539720,sell,0.0041,,,received
1217,2018-03-25 00:36:47.434,96627310-2fc4-11e8-bc94-03ec1c2dcd07,,,,,a53a87a6-a29d-47bb-939d-bb616701db5d,limit,15619.0,BTC-USD,,,5492539718,sell,0.0043,,,received
1218,2018-03-25 00:36:47.437,9674e9a0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,5453d4cd-2b6d-42ef-bb3f-9577045b54da,limit,12040.0,BTC-USD,,,5492539728,sell,0.0026,,,received
1219,2018-03-25 00:36:47.437,9671b550-2fc4-11e8-bc94-03ec1c2dcd07,,,,,546beb64-e5e0-489b-b561-a818521970ff,limit,12045.05,BTC-USD,,,5492539726,sell,0.001,,,received
1220,2018-03-25 00:36:47.439,9653f420-2fc4-11e8-bc94-03ec1c2dcd07,,,,,810919ff-353d-4102-a150-74c85ee68990,limit,13975.79,BTC-USD,,,5492539730,sell,0.0023,,,received
1221,2018-03-25 00:36:47.440,95c8f230-2fc4-11e8-bc94-03ec1c2dcd07,,,,,fb6bfad8-e253-4af6-9679-716c25f81b14,limit,19734.01,BTC-USD,,,5492539732,sell,0.0014,,,received
1222,2018-03-25 00:36:47.443,9663f9b0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,75e2e639-911e-4271-9423-c4be6bf15214,limit,12043.13,BTC-USD,,,5492539738,sell,0.0041,,,received
1223,2018-03-25 00:36:47.451,95c56fc0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,4d25ec35-e50f-462f-9637-05b13a8750d1,limit,17277.61,BTC-USD,,,5492539742,sell,0.0013,,,received
1224,2018-03-25 00:36:47.452,9658af10-2fc4-11e8-bc94-03ec1c2dcd07,,,,,fa037955-ac40-4ab8-8242-85f63fd98c9d,limit,16871.21,BTC-USD,,,5492539744,sell,0.0023,,,received
1225,2018-03-25 00:36:47.479,95cbff70-2fc4-11e8-bc94-03ec1c2dcd07,,,,,a67b77ab-592f-44d7-9551-f55254e4905a,limit,16372.17,BTC-USD,,,5492539746,sell,0.0039,,,received
1226,2018-03-25 00:36:47.481,965f3ec0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,aa05ee7f-46c3-4b4f-b0fe-88134baeeb7f,limit,11625.91,BTC-USD,,,5492539748,sell,0.0013,,,received
1227,2018-03-25 00:36:47.482,961b7f00-2fc4-11e8-bc94-03ec1c2dcd07,,,,,1feaae0a-a735-4f0f-b73f-2fc2b727e4dc,limit,11208.99,BTC-USD,,,5492539750,sell,0.00121666,,,received
1228,2018-03-25 00:36:47.491,9619f860-2fc4-11e8-bc94-03ec1c2dcd07,,,,,8464816c-1ede-4aed-a069-010ab53a36a4,limit,18530.0,BTC-USD,,,5492539752,sell,0.0012,,,received
1229,2018-03-25 00:36:52.775,54b66e26-73ec-47b7-d401-5dcc9566b94e,,,,,e317f128-cb24-4a52-9032-2accb5173821,limit,8356.0,BTC-USD,,,5492539954,buy,0.0115,,,received
1230,2018-03-25 00:36:54.133,9afb8330-2fc4-11e8-bc94-03ec1c2dcd07,,,,,e69cfcaa-e726-45ed-8c85-635bbb7c98d3,limit,17277.61,BTC-USD,,,5492540023,sell,0.0022,,,received
1231,2018-03-25 00:36:55.077,af7ceb7c-d408-4bf4-b8d4-5e218d786310,,,,,e40b7031-2c90-4836-b6ac-03b44c51587b,limit,8988.0,BTC-USD,,,5492540050,sell,0.0399381,,,received
1232,2018-03-25 00:36:57.643,9ac81720-2fc4-11e8-bc94-03ec1c2dcd07,,,,,9b0afd25-9582-4ead-9467-87f8ba9cee1f,limit,17222.01,BTC-USD,,,5492540287,sell,0.0042,,,received
1233,2018-03-25 00:36:57.646,9a81e660-2fc4-11e8-bc94-03ec1c2dcd07,,,,,2dd56211-b053-40b7-a45e-5de0be8db81f,limit,16618.36,BTC-USD,,,5492540289,sell,0.006,,,received
1234,2018-03-25 00:36:57.663,9b18a820-2fc4-11e8-bc94-03ec1c2dcd07,,,,,6edaf194-c16e-4ffb-a616-43274f774952,limit,12043.13,BTC-USD,,,5492540293,sell,0.0026,,,received
1235,2018-03-25 00:36:58.153,9b01ebd0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,b7265336-7b2e-4d89-93c3-8d0c8b5c1043,limit,12562.43,BTC-USD,,,5492540337,sell,0.001,,,received
1236,2018-03-25 00:36:58.156,9af9fc90-2fc4-11e8-bc94-03ec1c2dcd07,,,,,41eeea6a-e334-4c4b-a7ff-4f46ec23540b,limit,14248.52,BTC-USD,,,5492540339,sell,0.0012,,,received
1237,2018-03-25 00:37:00.204,9f7ceca0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,ddf7fc0a-0bef-4051-a60f-a0193cb89e57,limit,19059.38,BTC-USD,,,5492540500,sell,0.0019,,,received
1238,2018-03-25 00:37:00.211,9fc5dc80-2fc4-11e8-bc94-03ec1c2dcd07,,,,,d14a59d3-a4bb-4c40-b4ed-d299368ba4d0,limit,11325.84,BTC-USD,,,5492540504,sell,0.001,,,received
1239,2018-03-25 00:37:00.248,9f815970-2fc4-11e8-bc94-03ec1c2dcd07,,,,,a7fdcbbd-e5c2-4ad1-8845-810d10cda0c7,limit,16871.21,BTC-USD,,,5492540516,sell,0.0104,,,received
1240,2018-03-25 00:37:00.722,9ac69080-2fc4-11e8-bc94-03ec1c2dcd07,,,,,279f102b-e362-48f6-a1c5-ad246a8766f1,limit,11314.0,BTC-USD,,,5492540538,sell,0.001,,,received
1241,2018-03-25 00:37:02.352,9fc78a30-2fc4-11e8-bc94-03ec1c2dcd07,,,,,3d1e64e5-2571-4cc9-bbc3-76bb0ff2e44b,limit,17485.95,BTC-USD,,,5492540617,sell,0.004,,,received
1242,2018-03-25 00:37:02.362,a00e3020-2fc4-11e8-bc94-03ec1c2dcd07,,,,,7bc8f68c-aeb1-4b95-97a2-dfcf07181406,limit,12806.61,BTC-USD,,,5492540619,sell,0.0033,,,received
1243,2018-03-25 00:37:11.240,a5cbc310-2fc4-11e8-bc94-03ec1c2dcd07,,,,,44c6e962-b35c-421c-aed8-84219b441db0,limit,14248.52,BTC-USD,,,5492541327,sell,0.0017,,,received
